steamid,appid,playtime_minutes
76561198072785106,582010,113
76561198072785106,582270,0
76561198072785106,582550,0
76561198072785106,588230,0
76561198072785106,593280,781
76561198072785106,595280,0
76561198072785106,597220,709
76561198072785106,613100,1605
76561198072785106,619150,0
76561198072785106,621060,1511
76561198072785106,623990,0
76561198072785106,626580,8490
76561198072785106,628770,0
76561198072785106,632000,218
76561198072785106,641990,0
76561198072785106,648340,0
76561198072785106,650700,0
76561198072785106,654880,346
76561198072785106,656970,47
76561198072785106,658620,20
76561198072785106,676820,0
76561198072785106,677880,0
76561198072785106,712730,277
76561198072785106,716490,0
76561198072785106,718670,0
76561198072785106,739540,73
76561198072785106,746710,15
76561198072785106,761620,0
76561198072785106,774811,0
76561198072785106,787480,23
76561198072785106,788100,0
76561198072785106,792100,22
76561198072785106,794940,59
76561198072785106,798460,36
76561198072785106,801480,509
76561198072785106,853860,7
76561198072785106,893180,34
76561198072785106,914710,46
76561198072785106,939400,77
76561198072785106,945360,337
76561198072785106,990080,373
76561198072785106,996770,0
76561198072785106,1000030,170
76561198072785106,1030210,534
76561198072785106,1086940,1451
76561198072785106,1092790,210
76561198072785106,1107300,0
76561198072785106,1150090,0
76561198072785106,1190970,234
76561198072785106,1194700,0
76561198072785106,1205450,29
76561198072785106,1210320,217
76561198072785106,1247360,0
76561198072785106,1295510,3852
76561198072785106,1313140,613
76561198072785106,1328670,648
76561198072785106,1332010,119
76561198072785106,1335790,0
76561198072785106,1351210,0
76561198072785106,1356280,0
76561198072785106,1401590,6815
76561198072785106,1410640,0
76561198072785106,1421760,0
76561198072785106,1426210,434
76561198072785106,1435790,157
76561198072785106,1454400,17048
76561198072785106,1474740,0
76561198072785106,1510580,0
76561198072785106,1544020,0
76561198072785106,1557860,0
76561198072785106,1569580,2322
76561198072785106,1586700,0
76561198072785106,1621690,177
76561198072785106,1623880,0
76561198072785106,1647250,52
76561198072785106,1649080,1009
76561198072785106,1657630,46
76561198072785106,1659420,109
76561198072785106,1717270,0
76561198072785106,1761620,0
76561198072785106,1839190,0
76561198072785106,1852650,0
76561198072785106,1904790,0
76561198072785106,1931770,1081
76561198072785106,2008410,5
76561198072785106,2008420,0
76561198072785106,2073250,42
76561198072785106,2113850,11878
76561198072785106,2149010,0
76561198072785106,2175540,1380
76561198072785106,2295970,0
76561198072785106,2305840,62
76561198072785106,2318070,19
76561198072785106,2360250,0
76561198072785106,2366130,0
76561198072785106,2397500,0
76561198072785106,2429190,0
76561198072785106,2552430,32
76561198072785106,2552440,0
76561198072785106,2552450,0
76561198072785106,2589500,244
76561198072785106,2793950,0
76561198072785106,2800630,0
76561198072785106,2993780,11903
76561198072785106,3240220,0
76561198072785106,3426920,0
76561197972156958,10,0
76561197972156958,30,0
76561197972156958,40,0
76561197972156958,60,0
76561197972156958,80,0
76561197972156958,100,0
76561197972156958,220,23
76561197972156958,240,837
76561197972156958,320,0
76561197972156958,360,0
76561197972156958,400,0
76561197972156958,550,82
76561197972156958,570,26558
76561197972156958,620,0
76561197972156958,730,19296
76561197972156958,3830,0
76561197972156958,4560,0
76561197972156958,4570,11
76561197972156958,4580,780
76561197972156958,4920,0
76561197972156958,6510,0
76561197972156958,8870,771
76561197972156958,8930,0
76561197972156958,8980,0
76561197972156958,9310,0
76561197972156958,9450,1
76561197972156958,15620,724
76561197972156958,17410,0
76561197972156958,17470,0
76561197972156958,19980,0
76561197972156958,20540,0
76561197972156958,20570,195
76561197972156958,20820,0
76561197972156958,20900,101
76561197972156958,20920,0
76561197972156958,21130,213
76561197972156958,24740,0
76561197972156958,24800,0
76561197972156958,26800,0
76561197972156958,28050,0
76561197972156958,32370,0
76561197972156958,34330,0
76561197972156958,39140,0
76561197972156958,40800,35
76561197972156958,41500,1414
76561197972156958,41800,0
76561197972156958,42910,23
76561197972156958,43110,0
76561197972156958,47790,0
76561197972156958,47830,0
76561197972156958,48000,0
76561197972156958,49520,0
76561197972156958,50620,0
76561197972156958,50650,1053
76561197972156958,55150,212
76561197972156958,55230,1433
76561197972156958,56400,628
76561197972156958,57300,0
76561197972156958,63710,0
76561197972156958,65300,0
76561197972156958,65800,0
76561197972156958,72000,0
76561197972156958,91600,0
76561197972156958,94200,0
76561197972156958,102600,0
76561197972156958,102840,0
76561197972156958,105000,480
76561197972156958,105600,14718
76561197972156958,107100,349
76561197972156958,107200,2944
76561197972156958,107300,0
76561197972156958,107310,236
76561197972156958,107800,0
76561197972156958,108500,0
76561197972156958,108800,0
76561197972156958,113200,0
76561197972156958,115120,0
76561197972156958,200370,1498
76561197972156958,200510,1776
76561197972156958,200710,4881
76561197972156958,200900,0
