user_steamid,friend_steamid
76561198011971157,76561198209036727
76561198011971157,76561198210466351
76561198011971157,76561198211393231
76561198011971157,76561198213451300
76561198011971157,76561198215900455
76561198011971157,76561198216077547
76561198011971157,76561198217236371
76561198011971157,76561198224188800
76561198011971157,76561198225152024
76561198011971157,76561198228143624
76561198011971157,76561198234541416
76561198011971157,76561198239655254
76561198011971157,76561198241021674
76561198011971157,76561198241032636
76561198011971157,76561198241522554
76561198011971157,76561198242722326
76561198011971157,76561198242871804
76561198011971157,76561198251040010
76561198011971157,76561198251110304
76561198011971157,76561198254043447
76561198011971157,76561198255920445
76561198011971157,76561198259755327
76561198011971157,76561198261465849
76561198011971157,76561198263516056
76561198011971157,76561198269201075
76561198011971157,76561198273475493
76561198011971157,76561198273506363
76561198011971157,76561198273645959
76561198011971157,76561198274156034
76561198011971157,76561198276683975
76561198011971157,76561198276887621
76561198011971157,76561198278589859
76561198011971157,76561198284315349
76561198011971157,76561198297764254
76561198011971157,76561198298495649
76561198011971157,76561198305056995
76561198011971157,76561198314189509
76561198011971157,76561198316370663
76561198011971157,76561198322019752
76561198011971157,76561198323648710
76561198011971157,76561198324781762
76561198011971157,76561198326406251
76561198011971157,76561198334988406
76561198011971157,76561198335392296
76561198011971157,76561198335622042
76561198011971157,76561198337885059
76561198011971157,76561198340040310
76561198011971157,76561198345512681
76561198011971157,76561198348355972
76561198011971157,76561198350849277
76561198011971157,76561198354270826
76561198011971157,76561198355864346
76561198011971157,76561198362520139
76561198011971157,76561198365436641
76561198011971157,76561198370055921
76561198011971157,76561198372568440
76561198011971157,76561198375276720
76561198011971157,76561198389091447
76561198011971157,76561198390206994
76561198011971157,76561198403889171
76561198011971157,76561198410270611
76561198011971157,76561198994076261
76561198011971157,76561199056035842
76561198011971157,76561199067289414
76561198011971157,76561199125599707
76561198011971157,76561199218790067
76561198011971157,76561199445448569
76561198008221709,76561197970310193
76561198008221709,76561197972380369
76561198008221709,76561198006737878
76561198008221709,76561198006920662
76561198067585039,76561197965817139
76561198067585039,76561197998325781
76561198067585039,76561198003527175
76561198067585039,76561198010917880
76561198067585039,76561198014536150
76561198067585039,76561198031886297
76561198067585039,76561198037026902
76561198067585039,76561198041093787
76561198067585039,76561198042575816
76561198067585039,76561198042972344
76561198067585039,76561198071217691
76561198067585039,76561198190719537
76561198067585039,76561198262586031
76561198067585039,76561198353248069
76561198067585039,76561198826525012
76561198067585039,76561199006647217
76561199185184808,76561197990510149
76561199185184808,76561198063739962
76561199185184808,76561198125462018
76561199185184808,76561198154784844
76561199185184808,76561198207994519
76561199185184808,76561198325307482
76561199185184808,76561198362520139
76561199185184808,76561198388902533
76561199185184808,76561198401922963
76561199185184808,76561199085830111
76561199185184808,76561199162902159
76561198004594504,76561197960308687
76561198004594504,76561197960340947
76561198004594504,76561197960376686
76561198004594504,76561197960501747
76561198004594504,76561197960711906
76561198004594504,76561197961047722
76561198004594504,76561197964127215
76561198004594504,76561197968442300
76561198004594504,76561197969111497
76561198004594504,76561197970053145
76561198004594504,76561197970390304
76561198004594504,76561197970619128
76561198004594504,76561197971228033
76561198004594504,76561197971228919
76561198004594504,76561197971390267
76561198004594504,76561197971515388
76561198004594504,76561197971663465
76561198004594504,76561197971672264
76561198004594504,76561197971834997
76561198004594504,76561197972261347
76561198004594504,76561197972380369
76561198004594504,76561197972878111
76561198004594504,76561197973307599
76561198004594504,76561197973885494
76561198004594504,76561197975914831
76561198004594504,76561197977308802
76561198004594504,76561197978403660
76561198004594504,76561197979011067
76561198004594504,76561197979860776
76561198004594504,76561197980065023
76561198004594504,76561197984453766
76561198004594504,76561197989876084
76561198004594504,76561197990509680
76561198004594504,76561197990719649
76561198004594504,76561197991113511
76561198004594504,76561197995108052
76561198004594504,76561197995513957
76561198004594504,76561197995550860
76561198004594504,76561197996862447
76561198004594504,76561197997247107
76561198004594504,76561197997818946
76561198004594504,76561197998100578
76561198004594504,76561197999946767
76561198004594504,76561198000332698
76561198004594504,76561198000600669
76561198004594504,76561198002256773
76561198004594504,76561198002531193
76561198004594504,76561198004461056
76561198004594504,76561198005161216
76561198004594504,76561198005433518
76561198004594504,76561198005461052
